	var	amp	idoc	iphrase	biggestStep	avgStep
" GUM_news_homeopathic-15
_1"	-0.006899929035324076	-0.0044151004403829575	0.1772310845553875	0.16033829197330374	-0.015334352850914001	-0.0320277708201793
" GUM_news_homeopathic-20
_1"	0.0034309879665014448	0.0010614749044179916	-0.008115187287330627	-0.014602149095402028	-0.01647964119911194	0.014451437954639268
" GUM_news_iodine-6
_1"	-0.0005773549928313887	0.0010677464306354523	-0.07084065675735474	-0.06824462426869526	0.03407604992389679	0.0028646086681295424
" GUM_news_iodine-11
_1"	-0.0008769897629512247	-0.00019685737788677216	0.011960774660110474	0.019225014504371973	0.017354385927319527	0.01293813272263683
" GUM_news_iodine-14
_1"	0.00034979833627962753	0.0047664642333984375	0.0017411783337593079	0.0006156946707464028	-0.01340872049331665	0.0013981096112237468
" GUM_news_iodine-17
_3"	-0.0002937827237192714	-8.762907236814499e-05	0.00034925341606140137	-0.0023493046840959986	0.0006135003641247749	-0.008606637256632604
" GUM_news_iodine-18
_1"	-0.003806411096469134	-0.0006059557199478149	-0.0462946742773056	-0.04617479092393739	-0.09400436282157898	-0.002446936014863732
" GUM_news_iodine-21
_1"	0.002202366230999217	-0.0007907021790742874	0.020086288452148438	0.017142397476545557	-0.0190536230802536	-0.0031150509603321552
" GUM_news_iodine-28
_1"	-0.0009011373181746912	0.0016811192035675049	0.08543568849563599	0.06196846480192675	0.08597669191658497	0.021582081140889442
" GUM_news_iodine-39
_2"	0.0025950335194586185	0.005558274686336517	-0.00032711029052734375	0.006751511269064259	0.005156122148036957	0.012902645073750954
" GUM_news_iodine-41
_2"	0.007369615425065132	0.00628305971622467	0.01865755021572113	0.00969509315730721	0.06070515885949135	0.013097725839110175
" GUM_speech_impeachment-1
_1"	0.006968643603485203	-0.001633528620004654	-0.012359589338302612	-0.010324131335703535	0.01514739915728569	-0.011656912457855328
" GUM_speech_impeachment-7
_1"	0.0010558353095780557	-0.0029051173478364944	0.0007224977016448975	-0.0014703147631743851	-0.0017351377755403519	-0.008184222622759751
" GUM_speech_impeachment-11
_1"	0.0034210483383655815	0.00034533627331256866	0.0024784207344055176	-0.006200325725379763	0.0258343368768692	0.010059452915414296
" GUM_speech_impeachment-13
_1"	-0.00514519505378358	-0.001807723194360733	-0.1461987942457199	-0.1380935465421509	0.01347525417804718	-0.007484019413669274
" GUM_speech_impeachment-17
_2"	0.002987774919853678	0.00020602717995643616	0.011980414390563965	0.007320083711917169	-0.007973432540893555	0.00271462771596144
" GUM_speech_impeachment-32
_1"	0.002270822533768771	-0.0007854923605918884	0.012939691543579102	0.02434659554885743	0.007209159433841705	0.017181364530333004
" GUM_speech_impeachment-37
_1"	0.00383943618658137	-0.005490833893418312	-0.002331376075744629	-0.007405409665658502	-0.002469712868332863	0.0061692748937049735
" GUM_speech_impeachment-39
_1"	0.0026311333869745573	0.0005256887525320053	-0.004631265997886658	-0.01668416318439303	-0.009200304746627808	0.023420065849581187
" GUM_speech_impeachment-47
_1"	-0.020639940678835213	-0.005569186061620712	-0.1964346355396276	-0.19054749246467562	-0.19384143501520157	0.0019309318843571538
" GUM_speech_inauguration-5
_1"	0.004172795222129738	-0.0017112810164690018	-0.0017345249652862549	0.004959048054209214	-0.005302103236317635	0.012414864690176067
