matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,uid_igauche2_2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-8.473297032045114,0,0,1,0,0,1,-5.975344537423814,1,0.0699434392154216,0,-1,0,1,0
0,-6.794785443308052,1,0,1,0,0,1,-9.94165634621931,0,0.0003797300159931,0,-1,0,0,0
0,-6.794785443308052,0,0,1,0,0,5,-6.748368271299515,0,0.0803485289216041,1,-1,0,1,0
0,-9.275177412741526,0,0,1,1,1,4,-9.275177412741526,0,0.0109285153448581,1,-1,0,1,0
0,-8.10697183227422,0,0,1,1,1,6,-11.014293148484159,0,0.0286810733377933,1,-1,0,1,0
0,-6.549269594239308,1,0,0,0,1,15,-12.480630217277586,0,-0.1300839819014072,0,-5,0,0,1
0,-8.944513517716059,1,0,0,0,1,1,-12.480630217277586,0,0.0268295370042324,0,-12,0,0,0
0,-6.256071788002225,0,0,1,0,1,7,-6.60476359492065,0,-0.3238420411944389,0,-1,0,1,0
0,-8.041908238927158,1,0,1,0,0,4,-5.810286461407363,0,-0.0726850517094135,0,-1,0,5,0
0,-8.251366337156114,1,0,1,0,0,1,-5.3795035453149085,0,-0.0043893326073884,0,-1,0,3,0
0,-8.246523712680325,1,0,1,1,0,11,-8.090304779789008,0,-0.2112709879875183,0,-1,0,0,0
0,-9.07943283561543,0,0,1,1,1,6,-11.276657412951648,0,-0.0313398316502571,1,-1,0,1,0
0,-8.10697183227422,0,0,1,1,1,5,-8.232134975228226,0,-0.0167963244020938,0,-1,0,1,0
0,-6.256071788002225,1,0,0,1,1,8,-12.88609532538575,0,0.1767558678984642,0,-4,0,0,0
0,-6.256071788002225,0,0,0,1,1,14,-8.251366337156114,0,0.0205653756856918,0,-3,0,1,0
0,-6.256071788002225,0,0,0,1,1,27,-8.280925139397658,0,-0.0869142115116119,0,-3,0,1,0
0,-7.623405136480864,1,0,0,1,0,28,-9.288783064797304,0,0.1772035621106624,0,-5,0,0,0
0,-6.195253047967186,0,0,1,1,1,5,-8.595635884237359,0,0.0531650260090827,1,-1,0,1,0
0,-6.195253047967186,1,0,1,1,0,9,-9.113334387291111,0,-0.0602554287761449,0,-1,0,4,0
0,-6.195253047967186,1,0,0,1,0,1,-10.68887074804953,0,-0.0893199294805526,0,-8,0,0,0
0,-9.627998787364268,1,0,0,1,0,4,-8.588809919166959,0,0.1185758039355278,0,-14,0,0,0
0,-9.004531527442312,1,0,0,1,0,2,-11.499800964265859,0,0.0516340732574462,0,-4,0,0,0
0,-9.968324593301471,1,0,0,1,1,2,-10.746029161889478,0,0.005491005256772,0,-20,0,0,0
0,-9.841572887662327,1,0,0,1,0,6,-5.810286461407363,0,-0.0497340746223926,0,-3,0,1,0
0,-8.65198882078849,1,0,0,1,1,9,-10.40118867559775,0,0.0762533247470855,0,-3,0,0,0
0,-9.729094904235636,0,0,0,0,0,1,-5.3795035453149085,0,0.109858650714159,1,-3,0,1,1
0,-6.256071788002225,1,0,1,0,0,1,-7.344831780227323,0,0.0325772799551487,0,-1,0,3,1
