matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,uid_avgStep,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-6.748368271299515,1,-0.0007869765847138,0,0,1,0,27,-11.969804593511594,0,0,-7,0,0,0
0,-9.627998787364268,1,0.0008104917702867,0,0,1,0,8,-8.609429206369693,0,0,-4,0,0,0
0,-7.829849520037441,1,-7.011067732285955e-05,0,1,1,1,2,-10.178045124283539,0,0,-1,0,1,0
0,-6.549269594239308,1,6.026631581182245e-05,0,1,1,1,22,-11.78748303671764,0,0,-1,0,1,0
0,-6.549269594239308,1,0.0004097011203209,0,1,1,0,13,-9.729094904235636,0,0,7,0,0,0
0,-6.794785443308052,1,0.0003244182958767,0,1,1,0,12,-5.810286461407363,0,0,-1,0,2,0
1,-6.195253047967186,0,0.0122167023519674,0,1,0,1,1,-6.2064961395413665,0,1,-1,0,1,0
0,-6.195253047967186,1,-0.0024107873009947,0,0,1,1,3,-8.623415448344433,0,0,-5,0,0,0
0,-8.516647472918727,0,0.0147837575525045,0,1,0,0,1,-6.8422755479438395,0,1,-1,0,1,0
0,-6.794785443308052,1,-0.0007827870886434,0,0,1,1,3,-10.283405639941366,0,0,-4,0,0,0
0,-6.195253047967186,1,-0.0002462937969145,0,1,1,0,15,-7.45455911505149,0,0,-1,0,0,0
0,-9.94165634621931,1,-0.0002475696446126,0,0,1,0,8,-7.829849520037441,0,0,-9,0,0,0
0,-6.195253047967186,0,0.0002552529698924,0,1,1,1,6,-5.3795035453149085,0,1,-1,0,1,0
0,-9.553890815210545,1,0.0001015138501922,0,0,1,0,10,-5.3795035453149085,0,0,-3,0,1,0
0,-9.553890815210545,1,-5.630236338166633e-05,0,0,1,0,14,-10.052881981329532,0,0,-6,0,0,0
0,-8.251366337156114,1,-0.0015701451308392,0,1,1,1,3,-5.3795035453149085,0,0,-1,0,4,0
0,-6.794785443308052,1,0.0003294779608647,0,0,0,1,3,-9.184793351273257,0,0,-17,0,0,0
0,-7.146302413206516,1,0.0004161993727872,0,0,0,0,3,-11.633332356890381,0,0,-6,0,0,1
0,-6.195253047967186,1,-0.0002766667778517,0,1,0,1,3,-6.926379476592348,0,0,-1,0,0,0
0,-6.195253047967186,0,0.0019264275415076,0,1,1,0,2,-6.801595912310578,0,1,-1,0,1,0
0,-6.195253047967186,1,0.000564897814322,0,0,0,1,16,-5.810286461407363,0,0,-4,0,2,1
0,-6.256071788002225,1,0.0006046796710613,0,1,1,1,2,-7.437205100358338,0,0,3,0,0,0
0,-8.10697183227422,1,0.0099945917858609,0,1,1,1,4,-9.330747263896336,0,0,-1,0,1,0
0,-8.041908238927158,1,0.0002003446179699,0,0,0,0,22,-7.146302413206516,0,0,-4,0,0,1
0,-9.275177412741526,1,0.0007090755445401,0,0,1,1,12,-10.40118867559775,0,0,-3,0,0,0
0,-6.549269594239308,1,5.174315336978815e-05,0,1,1,0,6,-8.194747443156606,0,0,-1,0,2,0
0,-6.256071788002225,1,-0.000340172321235,0,0,0,1,4,-8.616397875685788,0,0,-4,0,0,1
0,-8.285937681221203,1,0.0005377541049657,0,1,0,1,1,-7.437205100358338,0,0,-1,0,0,1
0,-8.251366337156114,1,-0.0051140319419038,0,1,1,1,13,-11.499800964265859,0,0,-1,0,0,0
0,-9.59025845938142,1,5.73739925256141e-05,0,0,1,1,4,-8.964121989104436,0,0,-3,0,3,0
0,-8.285937681221203,0,-9.0208096850303e-05,0,0,0,0,2,-8.261122512101478,0,1,-3,0,1,1
0,-7.437205100358338,1,-0.0045107591502142,0,0,0,1,1,-11.276657412951648,0,0,-4,0,0,1
0,-9.94165634621931,1,0.0004959819217522,0,0,0,0,3,-11.499800964265859,0,0,-4,0,0,1
0,-6.195253047967186,0,0.0001140297460956,0,1,0,0,22,-6.60476359492065,0,1,-1,0,1,0
1,-6.195253047967186,1,-0.0004003114687899,0,1,0,1,14,-12.88609532538575,0,0,-1,0,0,0
0,-7.146302413206516,1,-2.223020493392902e-05,0,0,0,0,19,-6.433258038231307,0,0,-4,0,0,0
0,-8.285937681221203,0,0.0040696053100483,0,1,1,1,0,-5.3795035453149085,0,1,-1,0,1,0
0,-6.256071788002225,1,-0.0014727281858072,0,0,0,1,1,-6.73549255693947,0,0,-5,0,0,1
0,-8.10697183227422,0,9.308659604617511e-05,0,1,1,0,23,-10.082734944479215,0,1,-1,0,1,0
0,-6.256071788002225,1,0.0002568449156406,0,0,1,0,0,-7.524803159676324,0,0,-4,0,0,0
0,-6.549269594239308,1,0.0009333888902479,0,1,1,1,1,-8.090304779789008,0,0,-1,0,2,0
0,-6.549269594239308,1,-6.540092215797863e-05,0,0,0,1,32,-5.3795035453149085,0,0,-3,0,2,0
0,-6.256071788002225,1,-8.74240850580162e-06,0,0,1,0,1,-6.73549255693947,0,0,-10,0,0,0
0,-6.549269594239308,1,-0.0003414967055009,0,1,1,0,13,-11.633332356890381,0,0,-1,0,15,0
0,-6.549269594239308,1,4.303550621678146e-05,0,0,0,1,15,-11.969804593511594,0,0,-5,0,0,0
0,-6.549269594239308,1,-0.0001554565800207,0,0,0,0,3,-12.88609532538575,0,0,-6,0,0,0
0,-6.256071788002225,1,-0.0033248717357453,0,1,1,0,11,-11.276657412951648,0,0,-1,0,0,0
0,-6.324357695868357,1,-0.000488249296173,0,0,1,0,21,-9.261754392409385,0,0,-5,0,0,0
0,-6.195253047967186,0,-0.0004494573214864,0,1,1,0,3,-7.62599917165791,1,0,-1,0,1,0
0,-6.794785443308052,1,-0.0001653137327242,0,1,0,1,2,-8.58203023218158,0,0,-1,0,1,0
0,-6.195253047967186,0,-0.0029576654799959,0,1,1,1,3,-10.634803526779255,0,0,-1,0,1,0
