matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,uid_var,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-8.041908238927158,1,0,0,1,0,10,0.3902599982317802,-6.433258038231307,0,0,-4,0,0,0
0,-8.954269692661423,1,0,0,1,1,9,0.0468719328688607,-6.748368271299515,0,0,-3,0,5,0
0,-9.07943283561543,1,0,0,1,1,10,-1.7180257651940103,-7.437205100358338,0,0,-23,0,0,0
0,-8.86971230463336,1,0,0,1,1,36,0.1183049274457523,-6.433258038231307,0,0,-4,0,0,0
0,-6.794785443308052,1,0,0,1,0,30,1.1047934872821903,-8.232134975228226,0,0,-3,0,2,0
0,-9.07943283561543,1,0,0,1,1,17,0.4686912056783718,-8.87876214015328,0,0,-4,0,0,0
0,-8.767058150573277,1,0,0,1,1,15,-0.1230111473584436,-5.3795035453149085,0,0,-3,0,2,0
0,-5.3795035453149085,1,0,1,1,1,29,-0.0569859914943773,-12.88609532538575,0,0,-1,0,4,0
0,-10.023894444456282,1,0,0,0,1,4,0.9126442574332252,-8.3752358188689,0,0,-3,0,7,1
0,-8.767058150573277,1,0,0,1,0,14,2.802178635928348,-9.865670439241386,0,0,-40,0,0,0
0,-6.324357695868357,1,0,0,0,0,8,-1.2692310650693417,-8.87876214015328,0,0,-21,0,0,1
0,-6.324357695868357,1,0,0,0,0,8,0.3488834728128402,-8.227384372469627,0,0,-3,0,2,1
0,-6.855410065124486,1,0,0,0,0,35,0.1331064846978087,-12.480630217277586,0,0,-5,0,0,1
0,-6.324357695868357,1,0,0,0,1,1,-2.18108715949106,-12.88609532538575,0,0,-6,0,0,1
0,-9.374549886554728,1,0,0,0,1,1,0.4165146593105291,-11.014293148484159,0,0,-3,0,2,1
0,-8.954269692661423,1,0,0,0,1,26,0.1783256798496992,-12.480630217277586,0,0,-5,0,0,1
0,-10.871192304843484,1,0,0,1,1,28,-0.8542551340376399,-5.810286461407363,0,0,-3,0,2,0
0,-6.324357695868357,1,0,0,1,0,2,-0.9672827096224365,-9.288783064797304,0,0,-2,0,0,0
0,-6.855410065124486,1,0,0,0,0,7,-0.4550028115085105,-8.467254717589151,0,0,-3,0,7,1
0,-8.609429206369693,1,0,0,0,1,1,0.5196020500735408,-10.634803526779255,0,0,-16,0,0,1
0,-6.855410065124486,1,0,0,1,0,11,0.2540311734999605,-9.468368641772383,0,0,-3,0,1,0
0,-8.041908238927158,1,0,0,1,1,13,-4.206132399109961,-8.727212242026077,0,0,-6,0,0,0
0,-6.195253047967186,1,0,0,0,0,5,0.5821385875387168,-6.195253047967186,0,0,-8,0,0,1
0,-9.865670439241386,1,0,0,1,1,17,0.0359011062216936,-7.744431768883089,0,0,-3,0,3,0
0,-7.829849520037441,1,0,0,1,0,21,0.3649049618682447,-11.969804593511594,0,0,-4,0,0,0
