matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,uid_iphrase,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,matrix_subject1v3
0,-6.324357695868357,1,0,0,0,1,1,0.1477478768878033,-12.88609532538575,0,0,-6,0,0,1
0,-9.374549886554728,1,0,0,0,1,1,-0.0296939161138571,-11.014293148484159,0,0,-3,0,2,1
0,-8.954269692661423,1,0,0,0,1,26,0.0578583234343297,-12.480630217277586,0,0,-5,0,0,1
0,-10.871192304843484,1,0,0,1,1,28,0.1634172774036706,-5.810286461407363,0,0,-3,0,2,0
0,-6.324357695868357,1,0,0,1,0,2,0.0690479971456274,-9.288783064797304,0,0,-2,0,0,0
0,-6.855410065124486,1,0,0,0,0,7,0.1290314820195947,-8.467254717589151,0,0,-3,0,7,1
0,-8.609429206369693,1,0,0,0,1,1,-0.0380540676622346,-10.634803526779255,0,0,-16,0,0,1
0,-6.855410065124486,1,0,0,1,0,11,0.0058731490071055,-9.468368641772383,0,0,-3,0,1,0
0,-8.041908238927158,1,0,0,1,1,13,-0.0454676074035561,-8.727212242026077,0,0,-6,0,0,0
0,-6.195253047967186,1,0,0,0,0,5,-0.0927425749134272,-6.195253047967186,0,0,-8,0,0,1
0,-9.865670439241386,1,0,0,1,1,17,0.0136561161208687,-7.744431768883089,0,0,-3,0,3,0
0,-7.829849520037441,1,0,0,1,0,21,-0.0519765850657256,-11.969804593511594,0,0,-4,0,0,0
0,-8.673967727507264,1,0,0,1,1,6,0.081232553081853,-10.360366681077494,0,0,-6,0,0,0
0,-6.748368271299515,1,0,0,1,1,19,0.0558490099067635,-11.78748303671764,0,0,-11,0,0,0
0,-7.623405136480864,1,0,0,0,0,19,0.0206857674777651,-12.88609532538575,0,0,-4,0,0,1
0,-6.324357695868357,1,0,0,1,1,2,0.2952144649988162,-8.727212242026077,0,0,-11,0,0,0
0,-10.023894444456282,1,0,0,0,1,3,0.1378146553318947,-10.806653783705913,0,0,-3,0,0,1
0,-6.324357695868357,1,0,0,1,1,2,0.066986611577543,-9.302576386929639,0,0,-4,0,0,0
0,-8.767058150573277,1,0,0,1,1,7,0.0897928600644935,-8.758960940340657,0,0,-3,0,2,0
0,-8.246523712680325,1,0,0,1,0,5,-0.0422494211557136,-9.316562628904379,0,0,-3,0,12,0
0,-8.767058150573277,1,0,0,1,0,32,0.1935760016506067,-6.573453486692192,0,0,-3,0,0,0
0,-8.767058150573277,1,0,0,1,0,21,-0.0089546900109638,-9.23543708409201,0,0,-3,0,2,0
0,-8.767058150573277,1,0,0,0,1,1,0.0854198450843493,-10.178045124283539,0,0,-6,0,0,1
0,-8.767058150573277,1,0,0,0,1,1,0.010415638402964,-8.688893377723941,0,0,-4,0,0,1
0,-6.324357695868357,1,0,0,1,1,36,0.0170344756067341,-11.181347233147324,0,0,-4,0,0,0
0,-7.623405136480864,1,0,0,1,0,5,0.0421681475223299,-5.3795035453149085,0,0,-3,0,2,0
0,-9.772580016175375,1,0,0,0,1,1,0.084228150718728,-11.014293148484159,0,0,-11,0,0,1
0,-8.609429206369693,1,0,0,0,1,3,0.1026783792203178,-8.588809919166959,0,0,-9,0,0,1
0,-6.195253047967186,1,0,0,1,0,5,0.039210430151568,-8.348133889091107,0,0,-8,0,0,0
0,-9.222533679256102,1,0,0,1,1,12,-0.0010248368038915,-12.480630217277586,0,0,-7,0,0,0
0,-9.07943283561543,1,0,0,1,1,20,0.104556931473165,-11.094335856157695,0,0,-13,0,0,0
0,-10.940185176330436,1,0,0,1,1,1,-0.112385306105602,-10.488200052587379,0,0,-3,0,3,0
0,-7.829849520037441,1,0,0,1,0,30,0.0022905926449575,-5.3795035453149085,0,0,-3,0,3,0
