matrix_subject1v2,frequency_matrix_verb,subject_form_CC_subject1v4,length_CC_remainder,that_omission,matrix_subject1v4,genre,position_matrix_verb,frequency_CC_subject_head,subject_form_CC_subject1v2,subject_form_CC_subject1v3,length_matrix_verb_to_CC,word_form_similarity,length_CC_onset,uid_jaeger,matrix_subject1v3
0,-6.256071788002225,0,0,1,0,1,28,-10.583510232391705,0,0,-1,0,1,2.7692938263429285,0
0,-7.146302413206516,1,0,0,1,1,16,-5.975344537423814,0,0,-4,0,0,2.19883358814192,0
0,-6.256071788002225,0,0,1,0,1,1,-5.810286461407363,0,1,-1,0,1,2.7692938263429285,0
0,-6.195253047967186,0,0,1,0,1,1,-9.468368641772383,0,1,-1,0,1,1.5146925448447344,1
0,-6.794785443308052,0,0,1,0,1,7,-6.433258038231307,1,0,-1,0,1,2.1210179685255763,0
0,-8.696440583359324,1,0,0,1,0,48,-5.3795035453149085,0,0,-3,0,5,2.3178525651248343,0
0,-6.256071788002225,0,0,1,0,1,20,-12.480630217277586,1,0,-1,0,1,2.7692938263429285,0
0,-8.10697183227422,1,0,1,0,1,20,-10.806653783705913,0,0,-1,0,2,2.176433807667145,1
0,-6.794785443308052,1,0,1,0,0,3,-7.623405136480864,0,0,-1,0,2,2.1210179685255763,0
0,-8.473297032045114,1,0,0,1,1,3,-7.762131345982491,0,0,-3,1,2,3.0265039322207445,0
0,-6.549269594239308,1,0,0,0,1,4,-10.360366681077494,0,0,-7,0,0,2.767293034665071,0
0,-8.10697183227422,1,0,1,0,1,9,-11.014293148484159,0,0,-1,0,2,2.176433807667145,0
0,-6.794785443308052,0,0,1,0,0,1,-9.222533679256102,0,0,-1,0,1,2.1210179685255763,0
0,-8.10697183227422,0,0,0,0,0,1,-12.192948144825804,0,1,-3,0,1,2.176433807667145,0
0,-7.146302413206516,1,0,0,1,1,3,-8.115410700920085,0,0,-6,0,3,2.19883358814192,0
0,-6.195253047967186,1,0,0,1,0,12,-9.89036305183176,0,0,-3,0,0,1.5146925448447344,0
0,-9.841572887662327,1,0,0,1,0,19,-11.78748303671764,0,0,-8,0,0,3.044522437723423,0
0,-6.195253047967186,1,0,1,1,0,2,-9.59025845938142,0,0,-1,0,2,1.5146925448447344,0
0,-6.195253047967186,1,0,1,1,0,25,-11.094335856157695,0,0,1,0,0,1.5146925448447344,0
0,-10.534720068222272,1,0,0,1,1,26,-10.583510232391705,0,0,-3,0,0,3.044522437723423,0
0,-6.195253047967186,1,0,1,1,1,2,-8.467254717589151,0,0,-1,0,5,1.5146925448447344,0
0,-9.38958776391927,1,0,0,1,0,2,-6.573453486692192,0,0,-3,0,5,2.243744592971112,0
0,-8.348133889091107,1,0,0,1,1,7,-10.583510232391705,0,0,-5,0,0,3.2851984677992734,0
0,-8.791750763163648,1,0,0,1,1,13,-6.203360357730682,0,0,-6,0,0,1.455287232606842,0
0,-9.275177412741526,1,0,0,1,0,22,-11.78748303671764,0,0,-9,0,0,2.512305623976115,0
0,-9.729094904235636,0,0,0,1,0,6,-7.17566830801088,1,0,-3,0,1,3.157000421150113,0
0,-9.627998787364268,1,0,0,1,0,20,-9.374549886554728,0,0,-4,0,0,3.258096538021482,0
0,-9.94165634621931,1,0,0,1,1,12,-9.316562628904379,0,0,-10,0,0,2.538973871058276,0
0,-6.256071788002225,1,0,0,1,1,12,-12.192948144825804,0,0,-5,0,0,2.7692938263429285,0
0,-6.549269594239308,1,0,0,1,0,19,-9.420359422586023,0,0,-3,0,2,2.767293034665071,0
0,-8.944513517716059,1,0,0,1,0,6,-11.276657412951648,0,0,-9,0,0,3.536116699561526,0
0,-6.256071788002225,0,0,1,1,0,9,-6.255411939743378,0,1,-1,0,1,2.7692938263429285,0
0,-6.324357695868357,1,0,0,1,0,11,-9.38958776391927,0,0,-4,0,0,4.952299717083292,0
0,-6.794785443308052,1,0,0,1,1,6,-10.871192304843484,0,0,-11,0,0,2.1210179685255763,0
0,-8.041908238927158,1,0,0,1,0,9,-7.786228897561551,0,0,-4,0,0,2.07159836421881,0
0,-7.623405136480864,1,0,1,1,0,5,-7.508504777943205,0,0,-1,0,0,2.5218501649796847,0
0,-7.623405136480864,1,0,1,1,0,2,-12.480630217277586,0,0,-1,0,0,2.5218501649796847,0
0,-6.794785443308052,1,0,0,1,1,30,-5.810286461407363,0,0,-4,0,0,2.1210179685255763,0
0,-6.195253047967186,1,0,1,1,0,5,-8.65198882078849,0,0,-1,0,2,1.5146925448447344,0
0,-8.041908238927158,1,0,0,1,0,16,-8.87876214015328,0,0,-3,0,1,2.07159836421881,0
0,-8.65198882078849,1,0,0,1,0,8,-11.78748303671764,0,0,-14,0,0,3.828641396489095,0
0,-9.275177412741526,1,0,0,1,1,8,-6.2064961395413665,0,0,-6,0,0,2.2246235515243336,0
0,-7.623405136480864,1,0,0,0,1,14,-10.534720068222272,0,0,-3,0,8,2.5218501649796847,1
