matrix_subject,frequency_matrix_verb,word_form_similarity,frequency_CC_subject_head,subject_form_CC_subject,position_matrix_verb,length_CC_remainder,length_CC_onset,length_matrix_verb_to_CC,that,uid,genre
3,-7.8362177871705665,0,-8.249404941372642,3,3,0,1,-1,0,3.891820298110627,54
3,-7.8362177871705665,0,-6.199464064089503,3,3,0,1,-5,0,3.891820298110627,54
3,-6.199464064089503,0,-5.879378567583063,3,11,0,1,-1,0,5.2390980068880655,54
4,-6.199464064089503,0,-4.6980515589636065,3,6,0,1,-1,0,0.9207918647549467,54
4,-9.525698407278204,0,-4.6980515589636065,4,10,0,1,-3,1,1.791759469228055,54
1,-6.649312891356779,0,-3.4125694778058655,3,10,0,1,-1,0,5.2390980068880655,6
4,-7.967553789231654,0,-4.6980515589636065,4,3,0,4,-1,0,2.4336133554004498,6
3,-6.999969762969948,0,-6.702337359664999,3,7,0,1,-2,0,2.17742195004004,6
3,-6.702337359664999,0,-5.181892985424519,4,10,0,0,-1,0,10,6
1,-6.649312891356779,0,-6.415893677464364,3,3,0,1,-3,1,10,6
3,-7.328473829941984,0,-5.181892985424519,3,3,0,1,-5,1,10,6
4,-6.062570067885558,0,-5.181892985424519,4,3,0,1,-1,0,10,6
1,-6.199464064089503,0,-6.986724536219928,4,3,0,0,-1,0,0.9207918647549467,6
4,-6.986724536219928,0,-3.4125694778058655,3,7,0,1,-3,0,3.8501476017100584,6
1,-6.199464064089503,0,-6.986724536219928,4,3,0,1,-13,0,0.9207918647549467,6
4,-6.986724536219928,0,-6.986724536219928,4,19,0,0,-3,0,4.976733742420574,6
4,-6.986724536219928,0,-6.649312891356779,1,26,0,1,-2,0,0.9207918647549467,6
4,-6.199464064089503,0,-7.158574793146586,3,2,0,1,-1,0,0.9207918647549467,86
3,-6.199464064089503,0,-3.4125694778058655,2,16,0,1,16,0,3.8501476017100584,86
3,-3.4125694778058655,0,-3.4125694778058655,4,2,0,2,-4,1,0.9207918647549467,86
4,-6.199464064089503,0,-5.181892985424519,4,10,0,0,10,0,5.7745515455444085,86
4,-6.149818833600338,0,-7.090624131238079,3,2,0,1,-1,0,3.2188758248682006,86
3,-6.649312891356779,0,-7.190323491461167,3,1,0,1,-1,0,1.3609765531356008,86
4,-6.199464064089503,0,-9.371547727450945,4,6,0,0,6,0,0.9207918647549467,86
3,-8.181963660577109,0,-7.090624131238079,4,22,0,1,-3,1,1.54663701119507,47
3,-6.08101591367631,0,-9.177391713009987,4,1,0,0,-9,0,5.236441962829949,47
4,-9.177391713009987,0,-7.950162046519784,4,12,0,10,-3,1,10,47
4,-7.366214157924831,0,-3.4125694778058655,3,2,0,1,-3,1,1.791759469228055,47
4,-9.371547727450945,0,-8.714768191061875,4,4,0,3,-3,1,2.639057329615259,47
4,-8.714768191061875,0,-4.6980515589636065,4,9,0,0,-4,0,10,47
